Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
MITSUBISHI Outlander PHEV,2,4,Auto-1,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KMTXT02.0H3M,small SUV,7,25/78,26/70,25/74,10,Elite
NISSAN Altima,2.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KNSXV02.5RPA,midsize car,7,28,39,32,7,Yes
NISSAN Altima,2.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KNSXV02.5RPA,midsize car,7,28,39,32,7,Yes
NISSAN Altima,2.5,4,CVT,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KNSXV02.5RPA,midsize car,7,26,36,30,7,Yes
NISSAN Altima,2.5,4,CVT,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KNSXV02.5RPA,midsize car,7,26,36,30,7,Yes
NISSAN Altima SR/Platinum,2.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KNSXV02.5RPA,midsize car,7,27,37,31,7,Yes
NISSAN Altima SR/Platinum,2.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KNSXV02.5RPA,midsize car,7,27,37,31,7,Yes
NISSAN Kicks,1.6,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KNSXV01.6RNA,midsize car,7,31,36,33,8,Yes
NISSAN Kicks,1.6,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KNSXV01.6RNA,midsize car,7,31,36,33,8,Yes
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KNSXV0000TL2,midsize car,10,124,99,112,10,Elite
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KNSXV0000TL2,midsize car,10,124,99,112,10,Elite
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KNSXV0000TS3,midsize car,10,118,97,108,10,Elite
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KNSXV0000TS3,midsize car,10,118,97,108,10,Elite
NISSAN Leaf SV/SL,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KNSXV0000TS3,midsize car,10,114,94,104,10,Elite
NISSAN Leaf SV/SL,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KNSXV0000TS3,midsize car,10,114,94,104,10,Elite
NISSAN Rogue Hybrid,2,4,SCV-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KNSXT02.0NGA,small SUV,3,33,35,34,8,Yes
NISSAN Rogue Hybrid,2,4,SCV-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,KNSXT02.0NGA,small SUV,3,33,35,34,8,Yes
NISSAN Rogue Hybrid,2,4,SCV-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KNSXT02.0NGA,small SUV,3,31,34,33,8,Yes
NISSAN Rogue Hybrid,2,4,SCV-7,4WD,Gasoline,CA,U2,California LEV-II ULEV,KNSXT02.0NGA,small SUV,3,31,34,33,8,Yes
NISSAN Sentra,1.8,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KNSXV01.8R1A,midsize car,7,29,37,32,7,Yes
NISSAN Sentra,1.8,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KNSXV01.8R1A,midsize car,7,29,37,32,7,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KNSXV01.6N4A,small car,3,31,39,34,8,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KNSXV01.6N4A,small car,3,31,39,34,8,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KNSXV01.6P4A,small car,5,31,39,34,8,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KNSXV01.6P4A,small car,5,31,39,34,8,Yes
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KNSXV01.6N4A,small car,3,27,36,30,7,Yes
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KNSXV01.6N4A,small car,3,27,36,30,7,Yes
PORSCHE Cayenne e-Hybrid,3,6,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,KPRXT03.0CH6,standard SUV,3,21/46,23/46,22/46,8,Yes
PORSCHE Cayenne e-Hybrid,3,6,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,KPRXT03.0CH6,standard SUV,3,21/46,23/46,22/46,8,Yes
PORSCHE Panamera 4 e-Hybrid,2.9,6,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV70,California LEV-III ULEV70,KPRXV02.9PH6,large car,5,21/48,24/54,23/51,8,Yes
PORSCHE Panamera 4 e-Hybrid,2.9,6,AMS-8,4WD,Gasoline/Electricity,FA,T3B70,Federal Tier 3 Bin 70,KPRXV02.9PH6,large car,5,21/48,24/54,23/51,8,Yes
PORSCHE Panamera 4 e-Hybrid Executive,2.9,6,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV70,California LEV-III ULEV70,KPRXV02.9PH6,large car,5,21/48,24/54,23/51,8,Yes
PORSCHE Panamera 4 e-Hybrid Executive,2.9,6,AMS-8,4WD,Gasoline/Electricity,FA,T3B70,Federal Tier 3 Bin 70,KPRXV02.9PH6,large car,5,21/48,24/54,23/51,8,Yes
PORSCHE Panamera 4 e-Hybrid ST,2.9,6,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV70,California LEV-III ULEV70,KPRXV02.9PH6,large car,5,21/48,24/54,23/51,8,Yes
PORSCHE Panamera 4 e-Hybrid ST,2.9,6,AMS-8,4WD,Gasoline/Electricity,FA,T3B70,Federal Tier 3 Bin 70,KPRXV02.9PH6,large car,5,21/48,24/54,23/51,8,Yes
PORSCHE Panamera Turbo S e-Hybrid,4,8,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,KPRXV04.0PH8,large car,3,19/46,22/51,20/48,7,Yes
PORSCHE Panamera Turbo S e-Hybrid,4,8,AMS-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,KPRXV04.0PH8,large car,3,19/46,22/51,20/48,7,Yes
PORSCHE Panamera Turbo S e-Hybrid Exec,4,8,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,KPRXV04.0PH8,large car,3,19/46,22/51,20/48,7,Yes
PORSCHE Panamera Turbo S e-Hybrid Exec,4,8,AMS-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,KPRXV04.0PH8,large car,3,19/46,22/51,20/48,7,Yes
PORSCHE Panamera Turbo S e-Hybrid ST,4,8,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,KPRXV04.0PH8,large car,3,19/46,22/51,20/48,7,Yes
PORSCHE Panamera Turbo S e-Hybrid ST,4,8,AMS-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,KPRXV04.0PH8,large car,3,19/46,22/51,20/48,7,Yes
