Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
TOYOTA Corolla Hatchback,2,4,SCV-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KTYXV02.0N4B,small car,6,32,42,36,8,Yes
TOYOTA Corolla Hatchback,2,4,SCV-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KTYXV02.0N4B,small car,6,32,42,36,8,Yes
TOYOTA Corolla Hatchback XSE,2,4,SCV-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KTYXV02.0N4B,small car,6,30,38,33,8,Yes
TOYOTA Corolla Hatchback XSE,2,4,SCV-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KTYXV02.0N4B,small car,6,30,38,33,8,Yes
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KTYXV01.8M5B,midsize car,5,29,38,33,8,Yes
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KTYXV01.8M5B,midsize car,5,30,40,34,8,Yes
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KTYXV01.8M5B,midsize car,5,29,38,33,8,Yes
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KTYXV01.8M5B,midsize car,5,30,40,34,8,Yes
TOYOTA Mirai,N/A,N/A,CVT,2WD,Hydrogen,FA,T3B0,Federal Tier 3 Bin 0,KTYXV00.0DA7,small car,10,67,67,67,10,Elite
TOYOTA Mirai,N/A,N/A,CVT,2WD,Hydrogen,CA,ZEV,California ZEV,KTYXV00.0DA7,small car,10,67,67,67,10,Elite
TOYOTA Prius,1.8,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KTYXV01.8P34,midsize car,7,54,50,52,10,Elite
TOYOTA Prius,1.8,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KTYXV01.8P34,midsize car,7,54,50,52,10,Elite
TOYOTA Prius,1.8,4,CVT,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KTYXV01.8P33,midsize car,7,52,48,50,10,Elite
TOYOTA Prius,1.8,4,CVT,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KTYXV01.8P33,midsize car,7,52,48,50,10,Elite
TOYOTA Prius Eco,1.8,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KTYXV01.8P34,midsize car,7,58,53,56,10,Elite
TOYOTA Prius Eco,1.8,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KTYXV01.8P34,midsize car,7,58,53,56,10,Elite
TOYOTA Prius Prime,1.8,4,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KTYXV01.8P35,midsize car,7,55/145,53/121,54/133,10,Elite
TOYOTA Prius Prime,1.8,4,CVT,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KTYXV01.8P35,midsize car,7,55/145,53/121,54/133,10,Elite
TOYOTA Prius c,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KTYXV01.5P34,small car,7,48,43,46,10,Elite
TOYOTA Prius c,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KTYXV01.5P34,small car,7,48,43,46,10,Elite
TOYOTA RAV4,2.5,4,SemiAuto-8,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KTYXT02.5N4H,small SUV,6,26,35,30,7,Yes
TOYOTA RAV4,2.5,4,SemiAuto-8,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KTYXT02.5N4H,small SUV,6,26,35,30,7,Yes
TOYOTA RAV4,2.5,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KTYXT02.5N4H,small SUV,6,27,34,30,7,Yes
TOYOTA RAV4,2.5,4,SemiAuto-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KTYXT02.5N4H,small SUV,6,27,34,30,7,Yes
TOYOTA RAV4 Hybrid,2.5,4,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KTYXT02.5P3N,small SUV,7,41,38,40,9,Yes
TOYOTA RAV4 Hybrid,2.5,4,SCV-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KTYXT02.5P3N,small SUV,7,41,38,40,9,Yes
TOYOTA Yaris,1.5,4,Auto-4,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KTYXV01.5B6B,small car,3,30,35,32,7,Yes
TOYOTA Yaris,1.5,4,Auto-4,2WD,Gasoline,CA,U2,California LEV-II ULEV,KTYXV01.5B6B,small car,3,30,35,32,7,Yes
TOYOTA Yaris,1.5,4,Man-6,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,KTYXV01.5F6A,small car,3,30,39,34,8,Yes
TOYOTA Yaris,1.5,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KTYXV01.5F6A,small car,3,30,39,34,8,Yes
TOYOTA Yaris,1.5,4,SemiAuto-6,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,KTYXV01.5F6A,small car,3,32,40,35,8,Yes
TOYOTA Yaris,1.5,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KTYXV01.5F6A,small car,3,32,40,35,8,Yes
VOLKSWAGEN Golf,1.4,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KVGAV01.4V1P,small car,7,29,37,32,7,Yes
VOLKSWAGEN Golf,1.4,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KVGAV01.4V1P,small car,7,29,37,32,7,Yes
VOLKSWAGEN Golf,1.4,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KVGAV01.4V1P,small car,7,29,37,32,7,Yes
VOLKSWAGEN Golf,1.4,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KVGAV01.4V1P,small car,7,29,37,32,7,Yes
VOLKSWAGEN Golf SportWagen,1.4,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KVGAV01.4V1P,station wagon,7,29,37,32,7,Yes
VOLKSWAGEN Golf SportWagen,1.4,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KVGAV01.4V1P,station wagon,7,29,37,32,7,Yes
VOLKSWAGEN Golf SportWagen,1.4,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KVGAV01.4V1P,station wagon,7,27,36,31,7,Yes
VOLKSWAGEN Golf SportWagen,1.4,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KVGAV01.4V1P,station wagon,7,27,36,31,7,Yes
VOLKSWAGEN Jetta,1.4,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KVGAV01.4V1P,small car,7,30,40,34,8,Yes
VOLKSWAGEN Jetta,1.4,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KVGAV01.4V1P,small car,7,30,40,34,8,Yes
VOLKSWAGEN Jetta,1.4,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KVGAV01.4V1P,small car,7,30,40,34,8,Yes
VOLKSWAGEN Jetta,1.4,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KVGAV01.4V1P,small car,7,30,40,34,8,Yes
VOLKSWAGEN e-Golf,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KVGAV00.0VZZ,small car,10,126,111,119,10,Elite
VOLKSWAGEN e-Golf,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KVGAV00.0VZZ,small car,10,126,111,119,10,Elite
VOLVO S60,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KVVXJ02.0P30,small car,7,29/74,34/74,31/74,10,Elite
VOLVO S60,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KVVXJ02.0P30,small car,7,29/74,34/74,31/74,10,Elite
VOLVO S90,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KVVXJ02.0P30,midsize car,7,26/70,33/72,29/71,10,Elite
VOLVO S90,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KVVXJ02.0P30,midsize car,7,26/70,33/72,29/71,10,Elite
VOLVO XC60,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KVVXJ02.0P30,small SUV,7,25/59,28/57,26/58,9,Yes
VOLVO XC60,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KVVXJ02.0P30,small SUV,7,25/59,28/57,26/58,9,Yes
VOLVO XC90,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KVVXJ02.0P30,standard SUV,7,24/59,27/56,25/58,9,Yes
VOLVO XC90,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KVVXJ02.0P30,standard SUV,7,24/59,27/56,25/58,9,Yes
